date,counts
2023-08-26,68
2022-04-27,65
2023-08-30,59
2023-08-12,58
2023-08-25,58
2023-07-29,58
2023-08-16,57
2023-09-03,57
2021-04-07,57
2023-06-20,56
2023-08-02,55
2022-04-25,55
2022-05-31,54
2023-08-04,54
2022-05-12,53
2023-08-17,52
2021-01-21,50
2023-08-20,49
2023-08-29,49
2023-08-22,49
2022-11-19,48
2022-05-05,47
2021-04-11,47
2022-11-30,47
2022-11-21,46
2023-06-05,46
2023-07-25,46
2023-07-30,46
2023-08-08,46
2022-04-30,45
2021-01-19,44
2022-05-06,44
2023-08-27,44
2023-06-07,43
2023-08-28,42
2023-06-04,42
2021-03-13,42
2023-08-06,42
2023-07-26,41
2022-10-25,40
2021-04-08,40
2021-04-10,40
2022-04-28,40
2023-09-02,40
2023-08-09,39
2023-08-11,39
2022-04-26,39
2023-09-30,39
2023-08-31,39
2023-10-10,38
2022-10-23,38
2023-06-06,37
2022-12-01,37
2023-07-24,37
2022-11-23,36
2022-11-18,36
2023-07-21,36
2020-07-05,36
2023-01-17,35
2022-05-30,35
2022-10-27,35
2023-07-19,35
2023-08-14,35
2023-01-14,35
2021-03-23,34
2023-10-09,34
2023-08-10,34
2023-08-03,34
2022-10-30,34
2023-03-26,33
2023-07-04,33
2023-07-31,33
2022-05-01,32
2023-08-13,32
2022-11-06,32
2022-11-22,32
2023-07-03,32
2022-12-12,32
2022-09-20,31
2022-05-18,31
2020-07-06,31
2023-01-19,30
2022-05-20,30
2023-01-04,30
2023-01-11,30
2023-08-19,30
2023-10-24,29
2022-05-19,29
2023-01-22,29
2023-03-25,29
2023-06-08,29
2023-09-07,29
2023-07-20,29
2023-08-24,29
2023-07-27,29
2022-12-14,29
2021-02-15,28
2023-08-07,28
2022-04-24,28
2023-10-15,28
2023-07-18,27
2022-06-24,27
2023-09-13,27
2023-08-15,27
2023-07-06,27
2023-06-23,27
2020-11-14,27
2023-01-29,27
2023-01-16,27
2023-10-31,27
2023-05-04,27
2023-07-23,27
2023-08-23,27
2022-06-19,27
2023-10-06,27
2020-11-01,26
2020-12-19,26
2022-12-17,26
2023-09-15,26
2022-05-17,26
2023-03-19,26
2022-11-29,26
2022-12-05,26
2021-03-29,26
2022-06-09,26
2023-04-05,26
2023-07-01,26
2023-07-17,26
2021-03-26,25
2023-10-11,25
2021-01-11,25
2022-10-09,25
2023-02-02,25
2023-10-12,25
2020-10-18,25
2020-10-29,25
2023-09-04,25
2022-05-29,25
2023-10-01,24
2023-01-26,24
2023-09-10,24
2023-04-08,24
2022-06-12,24
2022-09-28,24
2023-07-10,24
2021-04-01,24
2023-07-15,24
2023-05-29,24
2020-12-26,24
2021-04-03,23
2022-05-10,23
2023-10-28,23
2021-04-05,23
2022-11-13,23
2020-11-08,23
2022-05-28,23
2023-09-24,23
2023-01-10,23
2023-10-22,23
2023-04-04,23
2023-08-01,23
2023-06-27,23
2022-06-11,23
2023-04-09,22
2023-01-20,22
2022-07-03,22
2023-01-09,22
2023-06-26,22
2023-10-13,22
2021-02-17,22
2022-05-02,22
2023-08-21,22
2021-02-20,22
2023-10-04,21
2021-03-10,21
2023-05-05,21
2023-10-02,21
2020-07-09,21
2023-01-24,21
2023-10-16,21
2023-07-07,21
2022-05-13,21
2022-05-04,21
2022-12-03,21
2022-12-04,21
2023-04-21,21
2023-07-08,21
2023-07-22,20
2022-10-12,20
2023-03-27,20
2022-09-15,20
2023-04-06,20
2023-09-21,20
2023-10-27,20
2023-06-30,20
2023-05-06,20
2021-03-27,20
2021-03-25,20
2023-03-16,19
2023-06-29,19
2021-02-22,19
2023-06-22,19
2023-06-19,19
2021-03-28,19
2022-06-15,19
2023-09-19,19
2022-10-15,19
2022-12-22,19
2020-11-05,19
2022-11-02,19
2021-02-04,19
2023-01-01,19
2022-11-17,19
2023-01-18,18
2020-10-30,18
2022-05-23,18
2023-10-18,18
2023-05-30,18
2023-08-18,18
2021-01-17,18
2023-09-14,18
2023-09-20,18
2023-01-05,18
2022-12-07,18
2020-07-04,18
2023-07-16,18
2022-05-27,18
2023-06-28,18
2023-09-16,18
2022-11-16,18
2020-12-27,17
2021-04-04,17
2023-09-28,17
2021-04-02,17
2023-01-25,17
2023-07-28,17
2023-10-30,17
2022-11-07,17
2021-03-06,17
2020-12-30,17
2021-01-18,17
2022-11-20,17
2020-10-28,17
2023-10-21,17
2022-12-10,17
2023-04-07,17
2022-12-02,17
2023-07-11,17
2022-05-22,16
2023-10-19,16
2023-09-18,16
2020-11-13,16
2023-03-23,16
2023-03-09,16
2023-07-05,16
2022-06-20,16
2023-10-07,16
2023-04-13,16
2020-10-31,16
2022-11-12,16
2023-05-28,16
2021-01-15,16
2023-04-22,16
2023-07-09,16
2023-09-27,16
2021-01-12,15
2022-06-21,15
2021-02-11,15
2021-02-14,15
2021-02-02,15
2021-02-16,15
2020-12-09,15
2021-03-24,15
2023-06-10,15
2022-12-25,15
2022-06-26,15
2023-06-02,15
2020-11-09,15
2023-06-21,15
2023-09-06,15
2023-09-05,15
2021-01-10,15
2023-09-23,15
2023-10-20,15
2022-05-25,14
2020-10-22,14
2022-05-21,14
2023-09-09,14
2021-02-05,14
2021-04-06,14
2023-09-11,14
2023-09-26,14
2021-02-10,14
2022-10-16,14
2021-02-23,14
2021-01-24,14
2023-05-12,14
2023-01-12,14
2021-03-14,14
2021-03-17,14
2023-10-14,14
2023-01-07,14
2021-04-09,14
2023-09-22,14
2023-01-28,14
2022-11-25,14
2020-10-13,13
2021-03-20,13
2023-10-17,13
2023-06-24,13
2023-06-03,13
2022-09-08,13
2022-05-16,13
2023-09-01,13
2021-01-28,13
2022-11-28,13
2022-10-14,13
2023-04-12,12
2022-12-11,12
2022-11-11,12
2023-04-25,12
2022-09-19,12
2023-07-14,12
2022-05-11,12
2021-03-22,12
2023-10-25,12
2023-10-03,12
2021-02-06,12
2021-02-12,12
2023-10-26,12
2023-10-29,12
2022-04-29,12
2021-03-04,12
2020-07-20,12
2020-10-25,12
2022-06-05,12
2020-12-06,12
2023-10-05,12
2020-11-07,12
2023-10-08,12
2021-01-06,12
2020-07-11,11
2020-08-20,11
2022-12-30,11
2023-05-01,11
2023-03-31,11
2023-01-21,11
2020-08-26,11
2020-08-28,11
2020-07-18,11
2020-07-23,11
2023-03-29,11
2021-02-01,11
2022-09-26,11
2023-04-20,11
2022-11-24,11
2020-09-16,11
2021-01-08,11
2020-12-23,11
2022-10-18,11
2021-03-31,11
2020-11-16,11
2023-03-12,11
2022-05-03,11
2023-07-02,11
2021-01-02,11
2022-05-08,11
2022-06-25,11
2020-11-29,10
2022-12-06,10
2022-12-13,10
2021-01-09,10
2022-09-27,10
2023-09-12,10
2020-10-20,10
2020-09-15,10
2021-01-22,10
2023-04-26,10
2022-10-20,10
2020-09-19,10
2021-01-29,10
2022-06-13,10
2022-09-12,10
2023-05-20,10
2023-03-14,10
2023-02-15,10
2021-04-12,10
2023-06-11,10
2021-03-30,10
2022-07-24,10
2021-03-18,10
2021-03-12,10
2023-02-05,10
2023-07-12,10
2022-09-05,10
2023-05-08,10
2022-12-19,9
2022-10-24,9
2022-05-09,9
2022-10-26,9
2020-10-21,9
2023-06-25,9
2022-07-01,9
2022-11-01,9
2023-03-15,9
2022-11-04,9
2023-03-28,9
2022-05-26,9
2020-11-10,9
2022-11-10,9
2020-11-12,9
2022-06-23,9
2022-06-10,9
2023-03-08,9
2022-07-11,9
2021-02-25,9
2023-01-13,9
2021-03-16,9
2022-10-01,9
2022-08-10,9
2021-03-05,9
2021-02-08,9
2023-05-27,9
2022-10-03,9
2023-04-27,9
2023-03-24,9
2020-07-24,9
2023-02-19,8
2023-11-01,8
2020-11-15,8
2023-08-05,8
2020-09-04,8
2020-07-10,8
2020-11-23,8
2022-12-08,8
2020-07-07,8
2020-10-16,8
2023-01-06,8
2022-12-29,8
2020-11-06,8
2023-10-23,8
2020-10-27,8
2022-12-28,8
2023-01-08,8
2023-01-23,8
2023-01-03,8
2023-02-28,8
2023-05-25,8
2022-11-08,8
2022-10-02,8
2021-02-13,8
2022-09-24,8
2021-01-25,8
2022-05-24,8
2022-07-09,8
2021-01-14,8
2023-06-16,8
2023-06-09,8
2021-03-19,8
2023-04-10,8
2021-01-31,8
2021-01-05,8
2022-11-09,8
2022-09-13,8
2023-06-01,8
2021-03-09,8
2023-05-02,8
2022-06-17,8
2020-12-31,8
2020-07-02,7
2020-08-10,7
2023-02-06,7
2023-05-03,7
2020-07-08,7
2023-09-17,7
2021-03-15,7
2020-07-21,7
2022-09-29,7
2020-07-12,7
2021-02-09,7
2022-09-18,7
2021-01-30,7
2021-01-13,7
2020-12-11,7
2020-12-16,7
2020-12-04,7
2020-12-28,7
2022-11-15,7
2022-06-08,7
2022-06-04,7
2022-06-16,7
2023-03-13,7
2022-10-29,7
2021-01-20,7
2023-02-14,7
2023-04-15,7
2020-10-08,7
2020-10-17,7
2022-12-24,7
2023-04-14,7
2022-05-14,7
2022-06-18,6
2023-02-24,6
2023-02-27,6
2023-03-02,6
2021-03-07,6
2023-05-31,6
2023-02-12,6
2022-07-05,6
2023-01-31,6
2020-12-10,6
2021-03-03,6
2022-09-23,6
2022-11-27,6
2020-12-29,6
2020-11-27,6
2020-11-18,6
2022-11-14,6
2021-01-04,6
2023-04-11,6
2022-12-16,6
2022-12-18,6
2020-10-11,6
2023-04-19,6
2022-10-08,6
2022-09-22,6
2021-02-18,6
2023-04-30,6
2020-12-07,6
2020-08-22,6
2020-08-21,6
2022-09-09,6
2023-07-13,6
2021-03-01,6
2023-05-09,6
2022-11-05,6
2023-05-11,5
2023-03-20,5
2023-03-11,5
2023-05-07,5
2023-03-06,5
2023-11-02,5
2022-09-11,5
2021-02-21,5
2020-09-13,5
2022-10-19,5
2022-10-17,5
2020-09-29,5
2022-12-27,5
2020-09-07,5
2023-01-02,5
2022-06-22,5
2020-10-19,5
2020-08-16,5
2022-10-11,5
2023-02-03,5
2021-03-02,5
2022-08-20,5
2022-10-10,5
2022-10-22,5
2020-11-22,5
2020-08-18,5
2020-09-06,5
2023-02-11,5
2023-02-16,5
2020-08-19,5
2020-08-27,5
2023-02-21,5
2021-01-27,5
2022-09-21,5
2020-12-12,5
2022-09-06,5
2020-12-03,5
2023-05-26,4
2023-05-15,4
2020-11-24,4
2020-08-31,4
2023-05-19,4
2021-03-21,4
2022-08-16,4
2021-02-07,4
2020-11-26,4
2020-11-21,4
2020-12-14,4
2021-01-03,4
2020-11-17,4
2021-01-16,4
2021-01-23,4
2020-10-26,4
2022-08-01,4
2022-05-15,4
2022-06-01,4
2022-06-30,4
2020-10-04,4
2022-09-14,4
2020-09-27,4
2020-09-26,4
2023-06-18,4
2020-11-25,4
2022-12-26,4
2020-07-19,4
2020-07-16,4
2020-07-17,4
2022-10-21,4
2020-07-27,4
2020-07-03,4
2020-08-07,4
2020-06-16,4
2022-12-09,4
2023-03-22,4
2023-01-27,4
2023-03-10,4
2020-06-12,4
2023-01-15,4
2020-07-25,4
2023-04-28,4
2020-07-26,4
2022-06-03,3
2023-02-01,3
2022-05-07,3
2020-10-24,3
2020-10-14,3
2021-03-11,3
2021-03-08,3
2021-02-28,3
2022-09-16,3
2020-11-02,3
2021-02-27,3
2021-02-24,3
2020-06-09,3
2020-12-01,3
2020-12-02,3
2023-02-25,3
2020-12-17,3
2020-11-19,3
2020-12-21,3
2020-12-22,3
2020-12-25,3
2021-01-01,3
2023-02-18,3
2020-11-03,3
2021-02-03,3
2023-02-07,3
2020-10-05,3
2020-08-25,3
2020-09-10,3
2022-07-06,3
2023-09-08,3
2023-05-18,3
2023-05-14,3
2023-04-24,3
2022-08-27,3
2023-04-16,3
2020-09-11,3
2022-08-22,3
2022-07-08,3
2020-08-04,3
2020-09-12,3
2022-11-26,3
2023-09-29,3
2022-07-31,3
2023-05-17,3
2023-06-17,3
2022-07-17,3
2020-09-28,3
2020-09-30,3
2022-07-14,3
2020-08-24,3
2022-09-03,3
2022-07-13,3
2023-04-03,3
2023-09-25,2
2020-06-08,2
2020-08-17,2
2020-09-01,2
2020-08-30,2
2020-08-29,2
2020-11-20,2
2020-06-13,2
2020-08-06,2
2020-06-15,2
2020-08-11,2
2020-07-14,2
2020-09-17,2
2020-09-18,2
2020-09-25,2
2020-07-28,2
2020-10-23,2
2020-10-15,2
2020-10-02,2
2020-10-12,2
2020-10-10,2
2020-10-07,2
2023-03-01,2
2022-10-06,2
2023-02-10,2
2022-12-20,2
2023-04-02,2
2022-07-28,2
2022-12-31,2
2023-01-30,2
2023-02-04,2
2022-09-30,2
2022-07-10,2
2022-07-07,2
2022-07-04,2
2022-10-13,2
2022-08-28,2
2022-10-28,2
2022-06-29,2
2023-02-20,2
2021-02-19,2
2022-09-07,2
2022-09-02,2
2021-01-07,2
2023-03-04,2
2023-03-05,2
2023-05-10,2
2023-02-26,2
2022-06-02,2
2023-02-22,2
2020-08-14,1
2022-10-07,1
2023-04-23,1
2023-04-18,1
2020-08-09,1
2023-04-17,1
2020-11-28,1
2022-10-31,1
2020-08-01,1
2020-07-30,1
2022-12-15,1
2020-07-15,1
2023-02-08,1
2023-03-17,1
2020-06-14,1
2020-06-11,1
2020-06-04,1
2020-03-31,1
2020-03-21,1
2023-03-21,1
2022-08-31,1
2020-02-01,1
2022-06-06,1
2023-06-15,1
2020-10-06,1
2022-07-02,1
2022-06-27,1
2022-06-14,1
2022-06-07,1
2023-03-03,1
2022-07-16,1
2021-02-26,1
2021-01-26,1
2020-11-04,1
2020-11-11,1
2020-12-20,1
2020-12-15,1
2022-07-15,1
2022-07-20,1
2022-09-17,1
2023-05-23,1
2022-09-01,1
2020-12-08,1
2020-09-03,1
2020-09-05,1
2023-05-13,1
2023-05-21,1
2022-08-25,1
2022-07-27,1
2022-08-12,1
2022-08-11,1
2022-08-09,1
2022-08-02,1
2020-09-23,1
2022-07-29,1
2019-07-11,1
